external_gene_name,siRNAaRNF4_untreated_1,siRNAaRNF4_7d_of_osteogenesis_1,scrambled_untreated_1,scrambled_7d_of_osteogenesis_1,siRNAaRNF4_untreated_2,siRNAaRNF4_7d_of_osteogenesis_2,scrambled_untreated_2,scrambled_7d_of_osteogenesis_2,siRNAaRNF4_untreated_4,siRNAaRNF4_7d_of_osteogenesis_4,scrambled_untreated_4,scrambled_7d_of_osteogenesis_4
DIMT1,386.0491228,388.9691647,727.0900014,1299.75984,343.749797,365.4285501,1258.799912,1437.134472,228.5874181,246.3636468,1192.628268,1083.342069
IPO11,1024.595239,964.2593614,700.7000013,751.8830055,974.7692543,855.816863,759.4569602,578.7883067,1055.698414,1081.157388,806.5876536,708.1117707
FOLH1,0.0,3.841670763,0.0,0.890856642,0.973795459,2.100164081,0.9493212,0.0,0.0,0.0,1.07832574,0.0
EIF2AK1,4568.943537,5423.478699,2800.070005,2662.770502,4434.66452,5777.551387,3236.235972,3364.012895,5256.40633,6698.248535,3986.570261,3540.558854
EPDR1,4256.974111,5055.638724,5904.080011,4186.135359,3676.077857,4456.54818,2191.982651,2489.100338,1734.834946,3878.332332,1873.05181,1950.015725
SNX10,13.5638881,21.12918919,18.20000003,7.126853132,33.1090456,40.95319958,13.2904968,6.212396851,153.4958991,128.8671383,36.66307516,16.74255925
SEPHS1,1146.670232,1178.432506,1330.420003,1240.963302,1186.082869,1039.58122,1308.164614,1441.27607,1453.24175,1149.381167,1316.635729,1050.841807
MRPL28,386.0491228,332.304521,887.2500017,1020.030855,467.4218203,357.0278938,1756.24422,2680.649241,473.7391419,418.8181995,1527.987574,1126.675752
HBQ1,0.0,0.0,0.0,0.890856642,0.0,0.0,0.9493212,0.0,0.0,0.947552488,2.15665148,0.984856427
ITPKC,654.1967568,1213.007543,552.370001,866.8035122,592.067639,1104.686307,568.643399,833.4965776,838.1538664,1170.227322,555.3377561,684.4752165
FAT2,53.21217639,14.40626536,21.84000004,10.6902797,41.87320473,30.45237917,39.87149041,13.46019318,34.23289837,12.31818234,40.97637812,12.80313355
RBM22,735.5800854,615.6277397,798.9800015,971.9245959,712.8182759,781.2610381,823.0614806,977.4171046,1028.091238,986.4021396,794.7260704,747.5060278
TMED2,8342.834557,8915.557422,8722.350016,9739.735662,9130.306223,9893.872985,12518.69867,11763.17344,12161.51322,12994.73482,16173.80777,12758.81501
ERO1B,214.9354576,183.4397789,197.4700004,220.9324471,257.0820011,192.1650134,241.1275849,125.2833365,240.7345756,196.1433649,277.1297152,197.9561417
ZFAND6,1468.030043,1320.574325,1309.490002,1175.930767,1383.763347,1235.946562,1059.442459,902.8683424,1273.242962,1341.734322,1062.150854,1098.114916
TXLNG,282.7548981,277.5607126,249.3400005,357.2335133,257.0820011,257.2700999,243.0262273,237.1064798,219.7531218,196.1433649,257.7198519,289.5477894
